taxon,country
hCoV-19/Canada/ON-VIDO-01/2020|EPI ISL 413015|NorthAmerica|Canada|2020-01-23,Canada
hCoV-19/Shanghai/SH0058/2020|EPI ISL 416365|Asia|China|2020-01-30,China
hCoV-19/Shanghai/SH0050/2020|EPI ISL 416358|Asia|China|2020-02-05,China
hCoV-19/Foshan/20SF207/2020|EPI ISL 406534|Asia|China|2020-01-22,China
hCoV-19/Shenzhen/SZTH-003/2020|EPI ISL 406594|Asia|China|2020-01-16,China
hCoV-19/Guangdong/20SF014/2020|EPI ISL 403934|Asia|China|2020-01-15,China
hCoV-19/Hangzhou/ZJU-03/2020|EPI ISL 416044|Asia|China|2020-01-25,China
hCoV-19/Shanghai/SH0093/2020|EPI ISL 416389|Asia|China|2020-01-21,China
hCoV-19/Hangzhou/ZJU-07/2020|EPI ISL 416425|Asia|China|2020-02-03,China
hCoV-19/Nonthaburi/61/2020|EPI ISL 403962|Asia|Thailand|2020-01-08,Thailand
hCoV-19/USA/MA1/2020|EPI ISL 409067|NorthAmerica|USA|2020-01-29,United States of America
hCoV-19/Nepal/61/2020|EPI ISL 410301|Asia|Nepal|2020-01-13,Nepal
hCoV-19/Shanghai/SH0088/2020|EPI ISL 416387|Asia|China|2020-02-01,China
hCoV-19/Guangzhou/20SF206/2020|EPI ISL 406533|Asia|China|2020-01-22,China
hCoV-19/Japan/TKYE6182/2020|EPI ISL 414511|Asia|Japan|2020-01,Japan
hCoV-19/Japan/KY-V-029/2020|EPI ISL 408669|Asia|Japan|2020-01-29,Japan
hCoV-19/Shanghai/SH0072/2020|EPI ISL 416375|Asia|China|2020-02-01,China
hCoV-19/Shanghai/SH0011/2020|EPI ISL 416324|Asia|China|2020-01-29,China
hCoV-19/Shanghai/SH0091/2020|EPI ISL 416388|Asia|China|2020-02-05,China
hCoV-19/Shanghai/SH0109/2020|EPI ISL 416398|Asia|China|2020-02-02,China
hCoV-19/Shanghai/SH0066/2020|EPI ISL 416369|Asia|China|2020-02-05,China
hCoV-19/India/1-27/2020|EPI ISL 413522|Asia|India|2020-01-27,India
hCoV-19/Shanghai/SH0048/2020|EPI ISL 416356|Asia|China|2020-02-01,China
hCoV-19/China/IQTC02/2020|EPI ISL 412967|Asia|China|2020-01-29,China
hCoV-19/Guangdong/SZ-N59-P0049/2020|EPI ISL 413872|Asia|China|2020-02-28,China
hCoV-19/Singapore/11/2020|EPI ISL 410719|Asia|Singapore|2020-02-02,Singapore
hCoV-19/USA/WI1/2020|EPI ISL 408670|NorthAmerica|USA|2020-01-31,United States of America
hCoV-19/Foshan/20SF210/2020|EPI ISL 406535|Asia|China|2020-01-22,China
hCoV-19/Singapore/1/2020|EPI ISL 406973|Asia|Singapore|2020-01-23,Singapore
hCoV-19/Shanghai/SH0031/2020|EPI ISL 416340|Asia|China|2020-02-02,China
hCoV-19/Guangdong/2020XN4239-P0034/2020|EPI ISL 413888|Asia|China|2020-01-30,China
hCoV-19/Jiangsu/JS01/2020|EPI ISL 411950|Asia|China|2020-01-23,China
hCoV-19/Japan/OS-20-07-1/2020|EPI ISL 410532|Asia|Japan|2020-01-23,Japan
hCoV-19/Iceland/141/2020|EPI ISL 417792|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Wales/PHWC-23CB8/2020|EPI ISL 418101|Europe|UnitedKingdom|2020-03-15,United Kingdom
hCoV-19/Ireland/COR-20134/2020|EPI ISL 414487|Europe|Ireland|2020-03-04,Ireland
hCoV-19/USA/CA-SCCPHD-UC16/2020|EPI ISL 417320|NorthAmerica|USA|2020-03-04,United States of America
hCoV-19/USA/CA-CDPH-UC18/2020|EPI ISL 417322|NorthAmerica|USA|2020-03-04,United States of America
hCoV-19/England/20109093606/2020|EPI ISL 417285|Europe|UnitedKingdom|2020-03-06,United Kingdom
hCoV-19/Netherlands/ZuidHolland 21/2020|EPI ISL 414563|Europe|Netherlands|2020-03-03,Netherlands
hCoV-19/Netherlands/Rotterdam 1363790/2020|EPI ISL 413582|Europe|Netherlands|2020-03-01,Netherlands
hCoV-19/France/Lyon 06573/2020|EPI ISL 417335|Europe|France|2020-03-06,France
hCoV-19/Netherlands/Utrecht 12/2020|EPI ISL 414462|Europe|Netherlands|2020-03-04,Netherlands
hCoV-19/Shanghai/SH0028/2020|EPI ISL 416337|Asia|China|2020-02-04,China
hCoV-19/Finland/1/2020|EPI ISL 407079|Europe|Finland|2020-01-29,Finland
hCoV-19/USA/CruiseA-6/2020|EPI ISL 413611|NorthAmerica|USA|2020-02-21,United States of America
hCoV-19/USA/CruiseA-7/2020|EPI ISL 413612|NorthAmerica|USA|2020-02-17,United States of America
hCoV-19/Japan/AI-I-004/2020|EPI ISL 407084|Asia|Japan|2020-01-25,Japan
hCoV-19/Shanghai/SH0036/2020|EPI ISL 416345|Asia|China|2020-02-04,China
hCoV-19/Guangdong/GDFS2020127-P0026/2020|EPI ISL 413874|Asia|China|2020-02-12,China
hCoV-19/Shanghai/SH0020/2020|EPI ISL 416329|Asia|China|2020-02-01,China
hCoV-19/China/WF0003/2020|EPI ISL 413693|Asia|China|2020-01,China
hCoV-19/HongKong/Case6 21012020/2020|EPI ISL 417178|Asia|HongKong|2020-01-25,Hong Kong
hCoV-19/Vietnam/19-01S/2020|EPI ISL 418269|Asia|Vietnam|2020-01-22,Vietnam
hCoV-19/Shanghai/SH0007/2020|EPI ISL 416320|Asia|China|2020-01-28,China
hCoV-19/HongKong/case2 VB20017970/2020|EPI ISL 417064|Asia|HongKong|2020-01-21,Hong Kong
hCoV-19/Shanghai/SH0086/2020|EPI ISL 416386|Asia|China|2020-01-31,China
hCoV-19/Germany/BavPat1/2020|EPI ISL 406862|Europe|Germany|2020-01-28,Germany
hCoV-19/Brazil/SPBR-01/2020|EPI ISL 412964|SouthAmerica|Brazil|2020-02-25,Brazil
hCoV-19/Netherlands/Utrecht 1363564/2020|EPI ISL 413588|Europe|Netherlands|2020-03-01,Netherlands
hCoV-19/Netherlands/Utrecht 1363628/2020|EPI ISL 413589|Europe|Netherlands|2020-03-01,Netherlands
hCoV-19/Senegal/139/2020|EPI ISL 418217|Africa|Senegal|2020-03-13,Senegal
hCoV-19/France/Bourg-en-Bresse 06678/2020|EPI ISL 416757|Europe|France|2020-03-07,France
hCoV-19/France/CVL2000/2020|EPI ISL 418222|Europe|France|2020-03-04,France
hCoV-19/France/Lyon 06531/2020|EPI ISL 416756|Europe|France|2020-03-06,France
hCoV-19/France/Pollionay 1733/2020|EPI ISL 416745|Europe|France|2020-03-10,France
hCoV-19/France/IDF2278/2020|EPI ISL 416499|Europe|France|2020-03-11,France
hCoV-19/France/Clermont-Ferrand 650/2020|EPI ISL 416752|Europe|France|2020-03-04,France
hCoV-19/Iceland/133/2020|EPI ISL 417788|Europe|Iceland|2020-03-12,Iceland
hCoV-19/Congo/82/2020|EPI ISL 417946|Africa|Congo|2020-03-18,Dem. Rep. Congo
hCoV-19/Congo/KN-0043/2020|EPI ISL 417435|Africa|Congo|2020-03-15,Dem. Rep. Congo
hCoV-19/Congo/KN-0054/2020|EPI ISL 417437|Africa|Congo|2020-03-17,Dem. Rep. Congo
hCoV-19/France/BFC2094/2020|EPI ISL 415651|Europe|France|2020-03-05,France
hCoV-19/Portugal/PT0039/2020|EPI ISL 418024|Europe|Portugal|2020-03-17,Portugal
hCoV-19/Congo/94/2020|EPI ISL 417947|Africa|Congo|2020-03-19,Dem. Rep. Congo
hCoV-19/Luxembourg/LNS2848109/2020|EPI ISL 417527|Europe|Luxembourg|2020-03-18,Luxembourg
hCoV-19/Congo/KN-0051/2020|EPI ISL 417436|Africa|Congo|2020-03-17,Dem. Rep. Congo
hCoV-19/Congo/KN-0058/2020|EPI ISL 417438|Africa|Congo|2020-03-17,Dem. Rep. Congo
hCoV-19/France/Clermont-Ferrand 651/2020|EPI ISL 416751|Europe|France|2020-03-05,France
hCoV-19/France/Lyon 487/2020|EPI ISL 416747|Europe|France|2020-03-04,France
hCoV-19/France/HF1870/2020|EPI ISL 414629|Europe|France|2020-03-03,France
hCoV-19/France/Lyon 06625/2020|EPI ISL 417337|Europe|France|2020-03-07,France
hCoV-19/Switzerland/BE2536/2020|EPI ISL 415704|Europe|Switzerland|2020-03-04,Switzerland
hCoV-19/France/BFC2147/2020|EPI ISL 415652|Europe|France|2020-03-05,France
hCoV-19/France/Lyon 06042/2020|EPI ISL 417333|Europe|France|2020-03-04,France
hCoV-19/Luxembourg/LNS9371718/2020|EPI ISL 417526|Europe|Luxembourg|2020-03-18,Luxembourg
hCoV-19/France/Valence 532/2020|EPI ISL 416749|Europe|France|2020-03-04,France
hCoV-19/France/IDF2534/2020|EPI ISL 418234|Europe|France|2020-03-14,France
hCoV-19/France/HF2496/2020|EPI ISL 418231|Europe|France|2020-03-15,France
hCoV-19/Luxembourg/LNS0158952/2020|EPI ISL 417534|Europe|Luxembourg|2020-03-18,Luxembourg
hCoV-19/Iceland/156/2020|EPI ISL 417803|Europe|Iceland|2020-03-13,Iceland
hCoV-19/USA/MN32-MDH32/2020|EPI ISL 417470|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/England/20100022706/2020|EPI ISL 415136|Europe|UnitedKingdom|2020-02-29,United Kingdom
hCoV-19/Portugal/CV63/2020|EPI ISL 413648|Europe|Portugal|2020-03-01,Portugal
hCoV-19/Portugal/PT0006b/2020|EPI ISL 417991|Europe|Portugal|2020-03-08,Portugal
hCoV-19/England/20102098802/2020|EPI ISL 417217|Europe|UnitedKingdom|2020-03-01,United Kingdom
hCoV-19/England/20104008802/2020|EPI ISL 417231|Europe|UnitedKingdom|2020-03-03,United Kingdom
hCoV-19/England/20108003202/2020|EPI ISL 417247|Europe|UnitedKingdom|2020-03-02,United Kingdom
hCoV-19/Iceland/261/2020|EPI ISL 417589|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Iceland/226/2020|EPI ISL 417754|Europe|Iceland|2020-03-16,Iceland
hCoV-19/England/200990660/2020|EPI ISL 414523|Europe|UnitedKingdom|2020-02-27,United Kingdom
hCoV-19/England/SHEF-BFCC0/2020|EPI ISL 416731|Europe|England|2020-03-03,England
hCoV-19/England/20100121006/2020|EPI ISL 415140|Europe|UnitedKingdom|2020-02-29,United Kingdom
hCoV-19/France/N1620/2020|EPI ISL 414624|Europe|France|2020-02-26,France
hCoV-19/England/20110003506/2020|EPI ISL 415150|Europe|UnitedKingdom|2020-03-09,United Kingdom
hCoV-19/USA/UT-00008/2020|EPI ISL 417026|NorthAmerica|USA|2020-03-20,United States of America
hCoV-19/USA/WA-UW135/2020|EPI ISL 416673|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/USA/MN30-MDH30/2020|EPI ISL 417198|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/WA-UW25/2020|EPI ISL 414594|NorthAmerica|USA|2020-03-05,United States of America
hCoV-19/Netherlands/NoordBrabant 1/2020|EPI ISL 414428|Europe|Netherlands|2020-03-02,Netherlands
hCoV-19/Iceland/244/2020|EPI ISL 417572|Europe|Iceland|2020-03-17,Iceland
hCoV-19/USA/WI-18/2020|EPI ISL 417515|NorthAmerica|USA|2020-03-26,United States of America
hCoV-19/USA/WI-08/2020|EPI ISL 417202|NorthAmerica|USA|2020-03-21,United States of America
