taxon,country
hCoV-19/USA/WA-UW200/2020|EPI ISL 417349|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/WA-UW114/2020|EPI ISL 416652|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/Canada/BC 41851/2020|EPI ISL 415584|NorthAmerica|Canada|2020-03-02,Canada
hCoV-19/USA/WA-S14/2020|EPI ISL 417067|NorthAmerica|USA|2020-03-03,United States of America
hCoV-19/USA/WA-UW50/2020|EPI ISL 415615|NorthAmerica|USA|2020-03-08,United States of America
hCoV-19/USA/WA-UW75/2020|EPI ISL 415603|NorthAmerica|USA|2020-03-10,United States of America
hCoV-19/USA/WA-UW245/2020|EPI ISL 418030|NorthAmerica|USA|2020-03-16,United States of America
hCoV-19/USA/WA-UW164/2020|EPI ISL 416702|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WA-UW154/2020|EPI ISL 416692|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW145/2020|EPI ISL 416683|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/USA/WA-UW261/2020|EPI ISL 418046|NorthAmerica|USA|2020-03-16,United States of America
hCoV-19/USA/WA-UW64/2020|EPI ISL 415592|NorthAmerica|USA|2020-03-09,United States of America
hCoV-19/USA/WA-S104/2020|EPI ISL 417157|NorthAmerica|USA|2020-03-05,United States of America
hCoV-19/USA/WA-UW32/2020|EPI ISL 414619|NorthAmerica|USA|2020-03-07,United States of America
hCoV-19/USA/WA-UW202/2020|EPI ISL 417351|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/WA-UW215/2020|EPI ISL 417364|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/WA-UW45/2020|EPI ISL 415610|NorthAmerica|USA|2020-03-08,United States of America
hCoV-19/USA/WA-UW43/2020|EPI ISL 415608|NorthAmerica|USA|2020-03-08,United States of America
hCoV-19/USA/WA-UW146/2020|EPI ISL 416684|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW112/2020|EPI ISL 416650|NorthAmerica|USA|2020-03-10,United States of America
hCoV-19/USA/WA-UW113/2020|EPI ISL 416651|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/USA/WA-UW220/2020|EPI ISL 417369|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-S120/2020|EPI ISL 417173|NorthAmerica|USA|2020-03-01,United States of America
hCoV-19/USA/WA-S64/2020|EPI ISL 417117|NorthAmerica|USA|2020-03-03,United States of America
hCoV-19/USA/CA-CDPH-UC20/2020|EPI ISL 417324|NorthAmerica|USA|2020-03-04,United States of America
hCoV-19/USA/WA-UW290/2020|EPI ISL 418075|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/USA/MN3-MDH3/2020|EPI ISL 414590|NorthAmerica|USA|2020-03-09,United States of America
hCoV-19/USA/WA-S60/2020|EPI ISL 417113|NorthAmerica|USA|2020-03-02,United States of America
hCoV-19/USA/WA-S78/2020|EPI ISL 417131|NorthAmerica|USA|2020-03-05,United States of America
hCoV-19/USA/WA-S94/2020|EPI ISL 417147|NorthAmerica|USA|2020-02-28,United States of America
hCoV-19/USA/UT-00015/2020|EPI ISL 417965|NorthAmerica|USA|2020-03-24,United States of America
hCoV-19/USA/WA-UW255/2020|EPI ISL 418040|NorthAmerica|USA|2020-03-16,United States of America
hCoV-19/USA/WA-UW30/2020|EPI ISL 414617|NorthAmerica|USA|2020-03-08,United States of America
hCoV-19/USA/WA-UW216/2020|EPI ISL 417365|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW85/2020|EPI ISL 416441|NorthAmerica|USA|2020-03-10,United States of America
hCoV-19/USA/WA-S2/2020|EPI ISL 413456|NorthAmerica|USA|2020-02-20,United States of America
hCoV-19/USA/WA-S27/2020|EPI ISL 417080|NorthAmerica|USA|2020-03-01,United States of America
hCoV-19/USA/WA-UW127/2020|EPI ISL 416665|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/WA-UW172/2020|EPI ISL 416710|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WA-UW198/2020|EPI ISL 417347|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/WA-UW72/2020|EPI ISL 415600|NorthAmerica|USA|2020-03-09,United States of America
hCoV-19/USA/WA8-UW5/2020|EPI ISL 413486|NorthAmerica|USA|2020-03-01,United States of America
hCoV-19/USA/WA9-UW6/2020|EPI ISL 413487|NorthAmerica|USA|2020-03-01,United States of America
hCoV-19/USA/WA-UW79/2020|EPI ISL 416435|NorthAmerica|USA|2020-03-10,United States of America
hCoV-19/USA/WA-S49/2020|EPI ISL 417102|NorthAmerica|USA|2020-03-04,United States of America
hCoV-19/Iceland/287/2020|EPI ISL 417615|Europe|Iceland|2020-03-18,Iceland
hCoV-19/Iceland/249/2020|EPI ISL 417577|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Iceland/191/2020|EPI ISL 417762|Europe|Iceland|2020-03-16,Iceland
hCoV-19/Iceland/136/2020|EPI ISL 417789|Europe|Iceland|2020-03-12,Iceland
hCoV-19/Iceland/9/2020|EPI ISL 417871|Europe|Iceland|2020-03-11,Iceland
hCoV-19/Iceland/29/2020|EPI ISL 417618|Europe|Iceland|2020-03-16,Iceland
hCoV-19/Iceland/138/2020|EPI ISL 417720|Europe|Iceland|2020-03-12,Iceland
hCoV-19/USA/WA-UW277/2020|EPI ISL 418062|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/Iceland/259/2020|EPI ISL 417587|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Australia/VIC05/2020|EPI ISL 416413|Oceania|Australia|2020-03-05,Australia
hCoV-19/USA/MN41-MDH41/2020|EPI ISL 417477|NorthAmerica|USA|2020-03-12,United States of America
hCoV-19/USA/WA-S119/2020|EPI ISL 417172|NorthAmerica|USA|2020-02-29,United States of America
hCoV-19/USA/WA-S37/2020|EPI ISL 417090|NorthAmerica|USA|2020-03-04,United States of America
hCoV-19/USA/WA-UW80/2020|EPI ISL 416436|NorthAmerica|USA|2020-03-10,United States of America
hCoV-19/USA/WA-UW28/2020|EPI ISL 414597|NorthAmerica|USA|2020-03-04,United States of America
hCoV-19/USA/WA-UW66/2020|EPI ISL 415594|NorthAmerica|USA|2020-03-10,United States of America
hCoV-19/USA/WA-UW218/2020|EPI ISL 417367|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WA-S73/2020|EPI ISL 417126|NorthAmerica|USA|2020-03-05,United States of America
hCoV-19/USA/WA-UW214/2020|EPI ISL 417363|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW278/2020|EPI ISL 418063|NorthAmerica|USA|2020-03-16,United States of America
hCoV-19/USA/WA-UW156/2020|EPI ISL 416694|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WA-UW144/2020|EPI ISL 416682|NorthAmerica|USA|2020-03-09,United States of America
hCoV-19/USA/WA-UW239/2020|EPI ISL 417453|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW232/2020|EPI ISL 417381|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW102/2020|EPI ISL 416640|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/USA/WA-UW182/2020|EPI ISL 416720|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WA-S83/2020|EPI ISL 417136|NorthAmerica|USA|2020-03-05,United States of America
hCoV-19/USA/WA-UW47/2020|EPI ISL 415612|NorthAmerica|USA|2020-03-09,United States of America
hCoV-19/USA/WA-UW81/2020|EPI ISL 416437|NorthAmerica|USA|2020-03-10,United States of America
hCoV-19/USA/WA-UW235/2020|EPI ISL 417449|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW171/2020|EPI ISL 416709|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WA-UW162/2020|EPI ISL 416700|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/USA/WI-GMF-00228/2020|EPI ISL 418187|NorthAmerica|USA|2020-03-23,United States of America
hCoV-19/USA/WA-S77/2020|EPI ISL 417130|NorthAmerica|USA|2020-03-05,United States of America
hCoV-19/USA/WA-UW293/2020|EPI ISL 418078|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/USA/WA-UW234/2020|EPI ISL 417448|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW83/2020|EPI ISL 416439|NorthAmerica|USA|2020-03-10,United States of America
hCoV-19/USA/WA-UW217/2020|EPI ISL 417366|NorthAmerica|USA|2020-03-14,United States of America
hCoV-19/USA/WA-UW88/2020|EPI ISL 416444|NorthAmerica|USA|2020-03-10,United States of America
hCoV-19/USA/WA-S76/2020|EPI ISL 417129|NorthAmerica|USA|2020-03-05,United States of America
hCoV-19/USA/WA-UW141/2020|EPI ISL 416679|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/USA/WA-UW31/2020|EPI ISL 414618|NorthAmerica|USA|2020-03-08,United States of America
hCoV-19/USA/WA-S58/2020|EPI ISL 417111|NorthAmerica|USA|2020-03-05,United States of America
hCoV-19/USA/WA-S22/2020|EPI ISL 417075|NorthAmerica|USA|2020-03-02,United States of America
hCoV-19/USA/WA-UW286/2020|EPI ISL 418071|NorthAmerica|USA|2020-03-15,United States of America
hCoV-19/USA/WA-UW244/2020|EPI ISL 418029|NorthAmerica|USA|2020-03-16,United States of America
hCoV-19/Fujian/8/2020|EPI ISL 411060|Asia|China|2020-01-21,China
hCoV-19/Guangdong/FS-S30-P0052/2020|EPI ISL 413892|Asia|China|2020-02-28,China
hCoV-19/Guangdong/FS-S34-P0015/2020|EPI ISL 413890|Asia|China|2020-02-28,China
hCoV-19/Guangdong/ZS-S6-P0060/2020|EPI ISL 413900|Asia|China|2020-02-28,China
hCoV-19/Shanghai/SH0041/2020|EPI ISL 416350|Asia|China|2020-01-29,China
hCoV-19/China/WF0012/2020|EPI ISL 413697|Asia|China|2020-02,China
hCoV-19/China/WF0028/2020|EPI ISL 413791|Asia|China|2020-02,China
hCoV-19/Wuhan/IVDC-HB-envF13-21/2020|EPI ISL 408515|Asia|China|2020-01-01,China
hCoV-19/Shanghai/SH0067/2020|EPI ISL 416370|Asia|China|2020-02-01,China
hCoV-19/Shanghai/SH0038/2020|EPI ISL 416347|Asia|China|2020-02-06,China
hCoV-19/Shanghai/SH0104/2020|EPI ISL 416395|Asia|China|2020-02-09,China
hCoV-19/Guangdong/GDSZ202004-P0004/2020|EPI ISL 413879|Asia|China|2020-02-05,China
hCoV-19/Guangdong/GD2020227-P0029/2020|EPI ISL 413880|Asia|China|2020-02-05,China
hCoV-19/Shanghai/SH0054/2020|EPI ISL 416362|Asia|China|2020-02-02,China
hCoV-19/Wuhan/IPBCAMS-WH-03/2019|EPI ISL 403930|Asia|China|2019-12-30,China
hCoV-19/Wuhan/IVDC-HB-05/2019|EPI ISL 402121|Asia|China|2019-12-30,China
hCoV-19/Wuhan/IPBCAMS-WH-01/2019|EPI ISL 402123|Asia|China|2019-12-24,China
hCoV-19/Shanghai/SH0008/2020|EPI ISL 416321|Asia|China|2020-01-28,China
hCoV-19/Jiangsu/JS02/2020|EPI ISL 411952|Asia|China|2020-01-24,China
hCoV-19/USA/CA5/2020|EPI ISL 408010|NorthAmerica|USA|2020-01-29,United States of America
hCoV-19/England/200641094/2020|EPI ISL 414040|Europe|UnitedKingdom|2020-02-05,United Kingdom
hCoV-19/USA/CruiseA-11/2020|EPI ISL 413616|NorthAmerica|USA|2020-02-17,United States of America
hCoV-19/England/20108006603/2020|EPI ISL 417253|Europe|UnitedKingdom|2020-03-03,United Kingdom
hCoV-19/SouthKorea/KCDC12/2020|EPI ISL 412872|Asia|SouthKorea|2020-02-01,South Korea
hCoV-19/Guangdong/GDFS2020052-P0025/2020|EPI ISL 413875|Asia|China|2020-02-10,China
hCoV-19/Wales/PHWC-23E2B/2020|EPI ISL 418117|Europe|UnitedKingdom|2020-03-14,United Kingdom
hCoV-19/Wales/PHWC-24006/2020|EPI ISL 418137|Europe|UnitedKingdom|2020-03-15,United Kingdom
hCoV-19/Poland/PL P1/2020|EPI ISL 416488|Europe|Poland|2020-03-03,Poland
hCoV-19/Germany/NRW-10/2020|EPI ISL 414574|Europe|Germany|2020-02-28,Germany
hCoV-19/Brazil/SPBR-11/2020|EPI ISL 416033|SouthAmerica|Brazil|2020-03-03,Brazil
hCoV-19/Netherlands/NA 6/2020|EPI ISL 415495|Europe|Netherlands|2020-03-10,Netherlands
hCoV-19/Wales/PHWC-23966/2020|EPI ISL 418083|Europe|UnitedKingdom|2020-03-10,United Kingdom
hCoV-19/Wales/PHWC-23CE5/2020|EPI ISL 418104|Europe|UnitedKingdom|2020-03-15,United Kingdom
hCoV-19/Wales/PHWC-23EC1/2020|EPI ISL 418125|Europe|UnitedKingdom|2020-03-14,United Kingdom
hCoV-19/Germany/NRW-02-1/2020|EPI ISL 414497|Europe|Germany|2020-02-25,Germany
hCoV-19/USA/UT-00010/2020|EPI ISL 417958|NorthAmerica|USA|2020-03-24,United States of America
hCoV-19/Iceland/166/2020|EPI ISL 417759|Europe|Iceland|2020-03-13,Iceland
hCoV-19/Wales/PHWC-23D88/2020|EPI ISL 418112|Europe|UnitedKingdom|2020-03-13,United Kingdom
hCoV-19/Germany/NRW-04/2020|EPI ISL 414499|Europe|Germany|2020-02-26,Germany
hCoV-19/Netherlands/Limburg 4/2020|EPI ISL 414426|Europe|Netherlands|2020-03-03,Netherlands
hCoV-19/Germany/NRW-08/2020|EPI ISL 414508|Europe|Germany|2020-02-27,Germany
hCoV-19/Germany/NRW-07/2020|EPI ISL 414506|Europe|Germany|2020-02-27,Germany
hCoV-19/Guangdong/ZQ-S2-P0061/2020|EPI ISL 413901|Asia|China|2020-02-28,China
hCoV-19/Guangdong/DG-S9-P0045/2020|EPI ISL 413868|Asia|China|2020-02-28,China
hCoV-19/Guangdong/FS-S42-P0046/2020|EPI ISL 413869|Asia|China|2020-02-28,China
hCoV-19/Guangdong/ZH-S33-P0058/2020|EPI ISL 413898|Asia|China|2020-02-28,China
hCoV-19/Guangdong/JM-S1-P0062/2020|EPI ISL 413902|Asia|China|2020-02-28,China
hCoV-19/Guangdong/MM-S1-P0048/2020|EPI ISL 413871|Asia|China|2020-02-28,China
hCoV-19/Guangdong/DG-S6-P0055/2020|EPI ISL 413895|Asia|China|2020-02-28,China
hCoV-19/Guangdong/FS-S50-P0053/2020|EPI ISL 413893|Asia|China|2020-02-28,China
hCoV-19/Singapore/2/2020|EPI ISL 407987|Asia|Singapore|2020-01-25,Singapore
hCoV-19/Malaysia/MKAK-CL-2020-5047/2020|EPI ISL 416866|Asia|Malaysia|2020-02-20,Malaysia
hCoV-19/Malaysia/MKAK-CL-2020-5045/2020|EPI ISL 416829|Asia|Malaysia|2020-02-20,Malaysia
hCoV-19/Malaysia/MKAK-CL-2020-5049/2020|EPI ISL 416884|Asia|Malaysia|2020-02-20,Malaysia
hCoV-19/Hangzhou/ZJU-09/2020|EPI ISL 416474|Asia|China|2020-01-28,China
hCoV-19/Cambodia/0012/2020|EPI ISL 411902|Asia|Cambodia|2020-01-27,Cambodia
hCoV-19/Shanghai/SH0121/2020|EPI ISL 416405|Asia|China|2020-02-02,China
hCoV-19/France/IDF0626/2020|EPI ISL 408431|Europe|France|2020-01-29,France
hCoV-19/Shanghai/SH0060/2020|EPI ISL 416367|Asia|China|2020-02-01,China
hCoV-19/Shanghai/SH0027/2020|EPI ISL 416336|Asia|China|2020-02-01,China
hCoV-19/USA/CA-CDPH-UC21/2020|EPI ISL 417325|NorthAmerica|USA|2020-03-03,United States of America
hCoV-19/England/20109052506/2020|EPI ISL 417276|Europe|UnitedKingdom|2020-03-07,United Kingdom
hCoV-19/USA/CruiseA-8/2020|EPI ISL 413613|NorthAmerica|USA|2020-02-17,United States of America
hCoV-19/Guangdong/DG-S2-P0054/2020|EPI ISL 413894|Asia|China|2020-02-28,China
hCoV-19/Malaysia/MKAK-CL-2020-7554/2020|EPI ISL 416907|Asia|Malaysia|2020-02-20,Malaysia
hCoV-19/USA/CruiseA-14/2020|EPI ISL 413619|NorthAmerica|USA|2020-02-25,United States of America
hCoV-19/Netherlands/Tilburg 1363354/2020|EPI ISL 413586|Europe|Netherlands|2020-02-27,Netherlands
hCoV-19/Netherlands/Oss 1363500/2020|EPI ISL 413581|Europe|Netherlands|2020-02-29,Netherlands
hCoV-19/Netherlands/NoordBrabant 12/2020|EPI ISL 414452|Europe|Netherlands|2020-03-06,Netherlands
hCoV-19/Netherlands/NoordBrabant 10/2020|EPI ISL 414431|Europe|Netherlands|2020-03-02,Netherlands
hCoV-19/Netherlands/NA 33/2020|EPI ISL 415490|Europe|Netherlands|2020-03-07,Netherlands
hCoV-19/Germany/NRW-15/2020|EPI ISL 417460|Europe|Germany|2020-03-11,Germany
hCoV-19/USA/MN2-MDH2/2020|EPI ISL 414589|NorthAmerica|USA|2020-03-07,United States of America
hCoV-19/Netherlands/Loon op zand 1363512/2020|EPI ISL 413576|Europe|Netherlands|2020-02-29,Netherlands
hCoV-19/Netherlands/NoordBrabant 27/2020|EPI ISL 414536|Europe|Netherlands|2020-03-08,Netherlands
hCoV-19/Netherlands/NoordBrabant 33/2020|EPI ISL 414542|Europe|Netherlands|2020-03,Netherlands
hCoV-19/Netherlands/NoordBrabant 35/2020|EPI ISL 414544|Europe|Netherlands|2020-03-09,Netherlands
hCoV-19/Netherlands/NoordBrabant 42/2020|EPI ISL 415500|Europe|Netherlands|2020-03-10,Netherlands
hCoV-19/Slovakia/SK-BMC6/2020|EPI ISL 417880|Europe|Slovakia|2020-03-08,Slovakia
hCoV-19/England/SHEF-BFD54/2020|EPI ISL 416740|Europe|England|2020-03-03,England
hCoV-19/Netherlands/Limburg 6/2020|EPI ISL 414427|Europe|Netherlands|2020-03-03,Netherlands
hCoV-19/Netherlands/Overijssel 2/2020|EPI ISL 414550|Europe|Netherlands|2020-03-06,Netherlands
hCoV-19/Netherlands/NoordBrabant 34/2020|EPI ISL 414543|Europe|Netherlands|2020-03,Netherlands
hCoV-19/Ecuador/HEE-01/2020|EPI ISL 417482|SouthAmerica|Ecuador|2020-03-09,Ecuador
hCoV-19/Netherlands/NoordBrabant 48/2020|EPI ISL 415505|Europe|Netherlands|2020-03-11,Netherlands
hCoV-19/Netherlands/NoordBrabant 47/2020|EPI ISL 415504|Europe|Netherlands|2020-03-09,Netherlands
hCoV-19/NewZealand/CoV001/2020|EPI ISL 417211|Oceania|NewZealand|2020-03-11,New Zealand
hCoV-19/England/20102112102/2020|EPI ISL 417218|Europe|UnitedKingdom|2020-03-02,United Kingdom
hCoV-19/Netherlands/Andel 1365066/2020|EPI ISL 413564|Europe|Netherlands|2020-03-01,Netherlands
hCoV-19/Netherlands/NoordBrabant 29/2020|EPI ISL 414538|Europe|Netherlands|2020-03-08,Netherlands
hCoV-19/Portugal/PT0041/2020|EPI ISL 418026|Europe|Portugal|2020-03-17,Portugal
hCoV-19/Netherlands/Utrecht 19/2020|EPI ISL 415528|Europe|Netherlands|2020-03-12,Netherlands
hCoV-19/Netherlands/NA 22/2020|EPI ISL 415479|Europe|Netherlands|2020-03-08,Netherlands
hCoV-19/England/20109038906/2020|EPI ISL 417261|Europe|UnitedKingdom|2020-03-06,United Kingdom
hCoV-19/Netherlands/NoordBrabant 28/2020|EPI ISL 414537|Europe|Netherlands|2020-03-08,Netherlands
hCoV-19/Netherlands/NoordBrabant 30/2020|EPI ISL 414539|Europe|Netherlands|2020-03-08,Netherlands
hCoV-19/Netherlands/Utrecht 14/2020|EPI ISL 414553|Europe|Netherlands|2020-03-09,Netherlands
hCoV-19/Netherlands/NoordBrabant 31/2020|EPI ISL 414540|Europe|Netherlands|2020-03-08,Netherlands
hCoV-19/Netherlands/NoordBrabant 32/2020|EPI ISL 414541|Europe|Netherlands|2020-03-08,Netherlands
hCoV-19/Netherlands/NoordBrabant 11/2020|EPI ISL 414432|Europe|Netherlands|2020-03-02,Netherlands
hCoV-19/Netherlands/NoordBrabant 54/2020|EPI ISL 415510|Europe|Netherlands|2020-03-09,Netherlands
hCoV-19/USA/CruiseA-12/2020|EPI ISL 413617|NorthAmerica|USA|2020-02-20,United States of America
hCoV-19/USA/CruiseA-4/2020|EPI ISL 413609|NorthAmerica|USA|2020-02-21,United States of America
hCoV-19/Guangzhou/GZMU0030/2020|EPI ISL 414686|Asia|China|2020-02-27,China
hCoV-19/China/WF0024/2020|EPI ISL 413753|Asia|China|2020-02,China
hCoV-19/Guangdong/ZH-N22-P0059/2020|EPI ISL 413899|Asia|China|2020-02-28,China
hCoV-19/USA/CruiseA-10/2020|EPI ISL 413615|NorthAmerica|USA|2020-02-17,United States of America
hCoV-19/England/20110015106/2020|EPI ISL 417306|Europe|UnitedKingdom|2020-03-08,United Kingdom
hCoV-19/Netherlands/NoordBrabant 60/2020|EPI ISL 415516|Europe|Netherlands|2020-03-11,Netherlands
hCoV-19/USA/CruiseA-18/2020|EPI ISL 413623|NorthAmerica|USA|2020-02-24,United States of America
hCoV-19/USA/CA-CDPH-UC3/2020|EPI ISL 413559|NorthAmerica|USA|2020-02-27,United States of America
hCoV-19/USA/CA-CDPH-UC2/2020|EPI ISL 413558|NorthAmerica|USA|2020-02-27,United States of America
hCoV-19/USA/CruiseA-17/2020|EPI ISL 413622|NorthAmerica|USA|2020-02-24,United States of America
hCoV-19/England/20110097506/2020|EPI ISL 417313|Europe|UnitedKingdom|2020-03-08,United Kingdom
hCoV-19/England/20110059306/2020|EPI ISL 417312|Europe|UnitedKingdom|2020-03-08,United Kingdom
hCoV-19/Iceland/248/2020|EPI ISL 417576|Europe|Iceland|2020-03-17,Iceland
hCoV-19/Iceland/220/2020|EPI ISL 417553|Europe|Iceland|2020-03-16,Iceland
hCoV-19/England/20109098906/2020|EPI ISL 417296|Europe|UnitedKingdom|2020-03-06,United Kingdom
hCoV-19/Iceland/338/2020|EPI ISL 417667|Europe|Iceland|2020-03-15,Iceland
hCoV-19/Iceland/337/2020|EPI ISL 417666|Europe|Iceland|2020-03-15,Iceland
hCoV-19/Portugal/PT0015/2020|EPI ISL 418000|Europe|Portugal|2020-03-10,Portugal
hCoV-19/Wales/PHWC-242D3/2020|EPI ISL 418164|Europe|UnitedKingdom|2020-03-17,United Kingdom
hCoV-19/Wales/PHW38/2020|EPI ISL 415538|Europe|UnitedKingdom|2020-03-12,United Kingdom
hCoV-19/England/20109093706/2020|EPI ISL 417286|Europe|UnitedKingdom|2020-03-05,United Kingdom
hCoV-19/Wales/PHW35/2020|EPI ISL 416024|Europe|UnitedKingdom|2020-03-11,United Kingdom
hCoV-19/Wales/PHWC-240BB/2020|EPI ISL 418141|Europe|UnitedKingdom|2020-03-13,United Kingdom
hCoV-19/England/SHEF-BFD45/2020|EPI ISL 416739|Europe|England|2020-03-09,England
hCoV-19/England/SHEF-BFD36/2020|EPI ISL 416738|Europe|England|2020-03-09,England
hCoV-19/England/20106003303/2020|EPI ISL 417239|Europe|UnitedKingdom|2020-03-03,United Kingdom
hCoV-19/USA/CruiseA-2/2020|EPI ISL 413607|NorthAmerica|USA|2020-02-18,United States of America
hCoV-19/Guangdong/GD2020115-P0009/2020|EPI ISL 413884|Asia|China|2020-02-01,China
hCoV-19/Shanghai/SH0106/2020|EPI ISL 416396|Asia|China|2020-02-10,China
hCoV-19/Shanghai/SH0094/2020|EPI ISL 416390|Asia|China|2020-01-31,China
hCoV-19/Shanghai/SH0085/2020|EPI ISL 416385|Asia|China|2020-01-30,China
hCoV-19/Hangzhou/ZJU-06/2020|EPI ISL 416047|Asia|China|2020-02-02,China
hCoV-19/Shanghai/SH0047/2020|EPI ISL 416355|Asia|China|2020-02-04,China
hCoV-19/Shanghai/SH0071/2020|EPI ISL 416374|Asia|China|2020-02-07,China
hCoV-19/Australia/NSW02/2020|EPI ISL 408976|Oceania|Australia|2020-01-22,Australia
hCoV-19/Japan/DP0645/2020|EPI ISL 416612|Asia|Japan|2020-02-17,Japan
hCoV-19/USA/CruiseA-1/2020|EPI ISL 413606|NorthAmerica|USA|2020-02-17,United States of America
hCoV-19/USA/CruiseA-24/2020|EPI ISL 414483|NorthAmerica|USA|2020-02-17,United States of America
hCoV-19/Japan/DP0765/2020|EPI ISL 416625|Asia|Japan|2020-02-17,Japan
hCoV-19/Japan/DP0654/2020|EPI ISL 416613|Asia|Japan|2020-02-17,Japan
hCoV-19/Japan/DP0005/2020|EPI ISL 416565|Asia|Japan|2020-02-15,Japan
hCoV-19/Japan/Hu DP Kng 19-027/2020|EPI ISL 412969|Asia|Japan|2020-02-10,Japan
hCoV-19/Japan/DP0278/2020|EPI ISL 416587|Asia|Japan|2020-02-16,Japan
hCoV-19/Japan/DP0476/2020|EPI ISL 416604|Asia|Japan|2020-02-16,Japan
hCoV-19/Japan/DP0191/2020|EPI ISL 416582|Asia|Japan|2020-02-15,Japan
hCoV-19/Japan/DP0058/2020|EPI ISL 416568|Asia|Japan|2020-02-15,Japan
hCoV-19/Shanghai/SH0068/2020|EPI ISL 416371|Asia|China|2020-02-05,China
hCoV-19/Shanghai/SH0033/2020|EPI ISL 416342|Asia|China|2020-02-04,China
hCoV-19/USA/CA-SCCPHD-UC13/2020|EPI ISL 417317|NorthAmerica|USA|2020-03-02,United States of America
hCoV-19/Japan/DP0880/2020|EPI ISL 416633|Asia|Japan|2020-02-17,Japan
hCoV-19/Japan/DP0196/2020|EPI ISL 416583|Asia|Japan|2020-02-15,Japan
hCoV-19/Japan/DP0779/2020|EPI ISL 416626|Asia|Japan|2020-02-17,Japan
hCoV-19/Japan/DP0457/2020|EPI ISL 416601|Asia|Japan|2020-02-16,Japan
hCoV-19/USA/CruiseA-26/2020|EPI ISL 414485|NorthAmerica|USA|2020-02-24,United States of America
hCoV-19/Japan/DP0687/2020|EPI ISL 416614|Asia|Japan|2020-02-17,Japan
hCoV-19/Japan/DP0037/2020|EPI ISL 416567|Asia|Japan|2020-02-15,Japan
hCoV-19/Japan/DP0361/2020|EPI ISL 416599|Asia|Japan|2020-02-16,Japan
hCoV-19/Japan/DP0200/2020|EPI ISL 416584|Asia|Japan|2020-02-15,Japan
hCoV-19/Japan/DP0690/2020|EPI ISL 416615|Asia|Japan|2020-02-17,Japan
hCoV-19/Japan/DP0543/2020|EPI ISL 416607|Asia|Japan|2020-02-17,Japan
hCoV-19/Japan/DP0752/2020|EPI ISL 416622|Asia|Japan|2020-02-17,Japan
hCoV-19/Japan/DP0158/2020|EPI ISL 416579|Asia|Japan|2020-02-15,Japan
hCoV-19/Japan/DP0190/2020|EPI ISL 416581|Asia|Japan|2020-02-15,Japan
hCoV-19/Japan/DP0077/2020|EPI ISL 416571|Asia|Japan|2020-02-15,Japan
hCoV-19/USA/UPHL-01/2020|EPI ISL 415539|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/Japan/DP0724/2020|EPI ISL 416620|Asia|Japan|2020-02-17,Japan
hCoV-19/Malaysia/188407/2020|EPI ISL 417918|Asia|Malaysia|2020-03-18,Malaysia
hCoV-19/Malaysia/189332/2020|EPI ISL 417917|Asia|Malaysia|2020-03-20,Malaysia
hCoV-19/USA/WA-UW93/2020|EPI ISL 416449|NorthAmerica|USA|2020-03-11,United States of America
hCoV-19/USA/WA-UW168/2020|EPI ISL 416706|NorthAmerica|USA|2020-03-13,United States of America
hCoV-19/Australia/QLDID921/2020|EPI ISL 417033|Oceania|Australia|2020-03-11,Australia
hCoV-19/Australia/NSW44/2020|EPI ISL 417400|Oceania|Australia|2020-03-10,Australia
